"서울시 기준일","서울시 확진자","서울시 추가 확진","서울시 치료중","서울시 퇴원","서울시 추가 퇴원","서울시 사망","서울시 의심환자 전체","서울시 의심환자 검사중","서울시 의심환자 검사결과(음성)","전국 기준일","전국 확진","전국 추가 확진","전국 치료중","전국 퇴원","전국 사망","전국 의심환자 전체","전국 의심환자 검사중","전국 의심환자 검사결과(음성)","자가격리자 해외입국자 감시중","자가격리자 해외입국자 감시해제","자가격리자 접촉자 감시중","자가격리자 접촉자 감시해제","확인중 확진자","서울시 당일사망자","전국 당일 사망자"
"2022.08.15.00","4272669","8246","0","","","5082","","","","2022.08.15.00","21418036","62078","0","","25673","","","","","","","","0","5","50"
"2022.08.14.00","4264423","19596","0","","","5077","","","","2022.08.14.00","21355958","119603","0","","25623","","","","","","","","0","10","57"
"2022.08.13.00","4244827","21859","0","","","5067","","","","2022.08.13.00","21236355","124592","0","","25566","","","","","","","","0","9","67"
"2022.08.12.00","4222976","22835","0","","","5058","","","","2022.08.12.00","21111840","128714","0","","25499","","","","","","","","0","17","58"
"2022.08.11.00","4200150","24516","0","","","5041","","","","2022.08.11.00","20983169","137241","0","","25441","","","","","","","","0","11","59"
"2022.08.10.00","4175643","26068","0","","","5030","","","","2022.08.10.00","20845973","151792","0","","25382","","","","","","","","0","10","50"
"2022.08.09.00","4149586","29489","0","","","5020","","","","2022.08.09.00","20694239","149897","0","","25332","","","","","","","","0","8","40"
"2022.08.08.00","4120126","7867","0","","","5012","","","","2022.08.08.00","20544420","55292","0","","25292","","","","","","","","0","7","29"
"2022.08.07.00","4112259","18366","0","","","5005","","","","2022.08.07.00","20489128","105507","0","","25263","","","","","","","","0","2","27"
"2022.08.06.00","4093893","20160","0","","","5003","","","","2022.08.06.00","20383621","110666","0","","25236","","","","","","","","0","9","45"
"2022.08.05.00","4073752","20817","0","","","4994","","","","2022.08.05.00","20273011","112901","0","","25191","","","","","","","","0","9","47"
"2022.08.04.00","4052939","20239","0","","","4985","","","","2022.08.04.00","20160154","107894","0","","25144","","","","","","","","0","6","34"
"2022.08.03.00","4032709","23023","0","","","4979","","","","2022.08.03.00","20052305","119922","0","","25110","","","","","","","","0","5","26"
"2022.08.02.00","4009707","24615","0","","","4974","","","","2022.08.02.00","19932439","111789","0","","25084","","","","","","","","0","4","16"
"2022.08.01.00","3985115","7340","0","","","4970","","","","2022.08.01.00","19820739","44689","0","","25086","","","","","","","","0","1","21"
"2022.07.31.00","3977775","14149","0","","","4969","","","","2022.07.31.00","19776050","73589","0","","25047","","","","","","","","0","5","20"
"2022.07.30.00","3963626","16588","0","","","4964","","","","2022.07.30.00","19702461","82002","0","","25027","","","","","","","","0","6","35"
"2022.07.29.00","3947049","17517","0","","","4958","","","","2022.07.29.00","19620517","85320","0","","24992","","","","","","","","0","4","35"
"2022.07.28.00","3929537","18169","0","","","4954","","","","2022.07.28.00","19535242","88384","0","","24957","","","","","","","","0","5","25"
"2022.07.27.00","3911407","20083","0","","","4949","","","","2022.07.27.00","19446946","100285","0","","24932","","","","","","","","0","5","25"
"2022.07.26.00","3891336","23107","0","","","4944","","","","2022.07.26.00","19346764","99327","0","","24907","","","","","","","","0","1","17"
"2022.07.25.00","3868256","5967","0","","","4943","","","","2022.07.25.00","19247496","35883","0","","24890","","","","","","","","0","5","17"
"2022.07.24.00","3862289","13809","0","","","4938","","","","2022.07.24.00","19211613","65433","0","","24873","","","","","","","","0","3","18"
"2022.07.23.00","3848480","14830","0","","","4935","","","","2022.07.23.00","19146180","68551","0","","24855","","","","","","","","0","4","30"
"2022.07.22.00","3833658","15379","0","","","4931","","","","2022.07.22.00","19077659","68632","0","","24825","","","","","","","","0","4","31"
"2022.07.21.00","3818284","16670","0","","","4927","","","","2022.07.21.00","19009080","71170","0","","24794","","","","","","","","0","4","17"
"2022.07.20.00","3801622","17199","0","","","4923","","","","2022.07.20.00","18937971","76402","0","","24777","","","","","","","","0","2","12"
"2022.07.19.00","3784432","18038","0","","","4921","","","","2022.07.19.00","18861593","73582","0","","24765","","","","","","","","0","0","12"
"2022.07.18.00","3766412","4896","0","","","4921","","","","2022.07.18.00","18788056","26299","0","","24753","","","","","","","","0","3","11"
"2022.07.17.00","3761516","8565","0","","","4918","","","","2022.07.17.00","18761757","40342","0","","24742","","","","","","","","0","2","14"
"2022.07.16.00","3752951","9457","0","","","4916","","","","2022.07.16.00","18721415","41310","0","","24728","","","","","","","","0","2","16"
"2022.07.15.00","3743496","8951","0","","","4914","","","","2022.07.15.00","18680142","38882","0","","24712","","","","","","","","0","2","16"
"2022.07.14.00","3734550","9655","0","","","4912","","","","2022.07.14.00","18641278","39196","0","","24696","","","","","","","","0","3","16"
"2022.07.13.00","3724897","9363","0","","","4909","","","","2022.07.13.00","18602109","40266","0","","24680","","","","","","","","0","2","12"
"2022.07.12.00","3715539","9412","0","","","4907","","","","2022.07.12.00","18561861","37360","0","","24668","","","","","","","","0","0","7"
"2022.07.11.00","3706133","2622","0","","","4907","","","","2022.07.11.00","18524538","12693","0","","24661","","","","","","","","0","2","18"
"2022.07.10.00","3703511","5244","0","","","4905","","","","2022.07.10.00","18511845","20410","0","","24643","","","","","","","","0","0","19"
"2022.07.09.00","3698267","4900","0","","","4905","","","","2022.07.09.00","18491435","20286","0","","24624","","","","","","","","0","2","19"
"2022.07.08.00","3693368","4605","0","","","4903","","","","2022.07.08.00","18471172","19323","0","","24605","","","","","","","","0","2","12"
"2022.07.07.00","3688769","4580","0","","","4901","","","","2022.07.07.00","18451862","18511","0","","24593","","","","","","","","0","1","10"
"2022.07.06.00","3684190","4770","0","","","4900","","","","2022.07.06.00","18433359","19371","0","","24583","","","","","","","","0","2","7"
"2022.07.05.00","3679421","4779","0","","","4898","","","","2022.07.05.00","18413997","18147","0","","24576","","","","","","","","0","1","2"
"2022.07.04.00","3674645","1161","0","","","4897","","","","2022.07.04.00","18395864","6253","0","","24574","","","","","","","","0","1","4"
"2022.07.03.00","3673484","2440","0","","","4896","","","","2022.07.03.00","18389611","10059","0","","24570","","","","","","","","0","2","8"
"2022.07.02.00","3671044","2778","0","","","4894","","","","2022.07.02.00","18379552","10715","0","","24562","","","","","","","","0","3","7"
"2022.07.01.00","3668271","2340","0","","","4891","","","","2022.07.01.00","18368857","9528","0","","24555","","","","","","","","0","2","8"
"2022.06.30.00","3665933","2282","0","","","4889","","","","2022.06.30.00","18359341","9595","0","","24547","","","","","","","","0","1","10"
"2022.06.29.00","3663653","2479","0","","","4888","","","","2022.06.29.00","18349756","10463","0","","24537","","","","","","","","0","2","7"
"2022.06.28.00","3661177","2472","0","","","4886","","","","2022.06.28.00","18339319","9896","0","","24530","","","","","","","","0","0","5"
"2022.06.27.00","3658710","600","0","","","4886","","","","2022.06.27.00","18329448","3429","0","","24525","","","","","","","","0","0","3"
"2022.06.26.00","3658110","1310","0","","","4886","","","","2022.06.26.00","18326019","6246","0","","24522","","","","","","","","0","1","6"
"2022.06.25.00","3656800","1552","0","","","4885","","","","2022.06.25.00","18319773","6790","0","","24516","","","","","","","","0","3","18"
"2022.06.24.00","3655248","1605","0","","","4882","","","","2022.06.24.00","18312993","7227","0","","24498","","","","","","","","0","1","10"
"2022.06.23.00","3653647","1580","0","","","4881","","","","2022.06.23.00","18305783","7497","0","","24488","","","","","","","","0","3","14"
"2022.06.22.00","3652068","1778","0","","","4878","","","","2022.06.22.00","18298341","8992","0","","24474","","","","","","","","0","3","11"
"2022.06.21.00","3650291","2043","0","","","4875","","","","2022.06.21.00","18289373","9310","0","","24463","","","","","","","","0","7","12"
"2022.06.20.00","3648259","719","0","","","4868","","","","2022.06.20.00","18280090","3538","0","","24451","","","","","","","","0","3","10"
"2022.06.19.00","3647540","1108","0","","","4865","","","","2022.06.19.00","18276552","6071","0","","24441","","","","","","","","0","1","14"
"2022.06.18.00","3646432","1245","0","","","4864","","","","2022.06.18.00","18270481","6842","0","","24427","","","","","","","","0","1","11"
"2022.06.17.00","3645189","1280","0","","","4863","","","","2022.06.17.00","18263643","7198","0","","24416","","","","","","","","0","1","9"
